run_id,lp_to_pe_latency_us,lt_to_pe_latency_us,pe_to_book_latency_us,run_set,seed,duration_s,pnl_realised,pnl_unrealised,pnl_total,fill_rate,fill_count,spread_capture_mean,position_std,hedge_count,latency_p99_ns
0,0,0,0,baseline,42,60,680,9,689.0000,31.3333,1880,-0.00,6.19,0,250
1,100,0,0,lp_only,42,60,580,0,580.0000,31.2833,1877,-0.01,6.18,0,100542
2,500,0,0,lp_only,42,60,528,0,528.0000,31.4167,1885,-0.03,6.26,0,503083
3,1000,0,0,lp_only,42,60,836,0,836.0000,31.2500,1875,0.01,6.06,0,1002875
4,5000,0,0,lp_only,42,60,945,7,952.0000,31.0000,1860,-0.03,6.33,0,5000667
5,10000,0,0,lp_only,42,60,839,30,869.0000,31.0833,1865,0.00,6.17,0,10000250
6,0,100,0,lt_only,42,60,497,-4,493.0000,31.5167,1891,0.03,6.12,0,3042
7,0,500,0,lt_only,42,60,761,8,769.0000,31.1167,1867,-0.03,6.34,0,333
8,0,1000,0,lt_only,42,60,680,8,688.0000,31.2167,1873,0.00,6.19,0,292
9,0,5000,0,lt_only,42,60,612,48,660.0000,31.0333,1862,0.02,5.98,0,333
10,0,10000,0,lt_only,42,60,725,27,752.0000,31.4000,1884,0.04,6.10,0,5250
11,0,0,100,pe_only,42,60,647,4,651.0000,31.3833,1883,-0.04,6.47,0,250
12,0,0,500,pe_only,42,60,563,0,563.0000,31.0667,1864,-0.06,6.31,0,250
13,0,0,1000,pe_only,42,60,568,0,568.0000,31.0833,1865,-0.07,6.36,0,250
14,0,0,5000,pe_only,42,60,469,10,479.0000,30.7167,1843,-0.21,6.95,0,250
15,0,0,10000,pe_only,42,60,70,76,146.0000,30.7000,1842,-0.25,7.28,0,250
16,100,100,100,combined,42,60,623,4,627.0000,31.3833,1883,-0.03,6.45,0,107333
17,500,500,500,combined,42,60,563,33,596.0000,31.2500,1875,-0.06,6.38,0,500250
18,1000,1000,1000,combined,42,60,492,7,499.0000,31.3833,1883,-0.03,6.33,0,1000250
19,5000,5000,5000,combined,42,60,260,0,260.0000,30.9000,1854,-0.20,7.00,0,5000250
20,10000,10000,10000,combined,42,60,238,30,268.0000,30.8333,1850,-0.29,7.21,0,10000250
21,0,0,0,baseline,43,60,498,-6,492.0000,32.0000,1920,-0.07,6.04,0,250
22,100,0,0,lp_only,43,60,397,0,397.0000,32.2500,1935,-0.06,6.10,0,133709
23,500,0,0,lp_only,43,60,490,-6,484.0000,32.5000,1950,-0.05,6.19,0,500250
24,1000,0,0,lp_only,43,60,490,-4,486.0000,32.4333,1946,-0.08,6.28,0,1000250
25,5000,0,0,lp_only,43,60,316,2,318.0000,32.2500,1935,-0.07,6.28,0,5000209
26,10000,0,0,lp_only,43,60,360,6,366.0000,32.0000,1920,-0.06,6.29,0,10000250
27,0,100,0,lt_only,43,60,567,0,567.0000,32.4333,1946,-0.06,6.17,0,24167
28,0,500,0,lt_only,43,60,533,6,539.0000,32.0667,1924,-0.09,6.30,0,292
29,0,1000,0,lt_only,43,60,502,6,508.0000,32.3667,1942,-0.06,6.32,0,5083
30,0,5000,0,lt_only,43,60,599,-2,597.0000,32.0500,1923,-0.01,5.99,0,1625
31,0,10000,0,lt_only,43,60,250,-6,244.0000,32.0000,1920,-0.06,6.28,0,6250
32,0,0,100,pe_only,43,60,267,-6,261.0000,32.6000,1956,-0.09,6.23,0,250
33,0,0,500,pe_only,43,60,367,-3,364.0000,32.4833,1949,-0.09,6.18,0,250
34,0,0,1000,pe_only,43,60,493,-4,489.0000,32.1000,1926,-0.12,6.18,0,250
35,0,0,5000,pe_only,43,60,-199,-6,-205.0000,31.8167,1909,-0.24,6.69,0,1917
36,0,0,10000,pe_only,43,60,-733,-14,-747.0000,32.0500,1923,-0.33,7.03,0,250
37,100,100,100,combined,43,60,563,-6,557.0000,32.3833,1943,-0.08,6.16,0,100250
38,500,500,500,combined,43,60,271,-3,268.0000,32.2167,1933,-0.12,6.21,0,500250
39,1000,1000,1000,combined,43,60,371,-4,367.0000,32.0167,1921,-0.12,6.23,0,1000250
40,5000,5000,5000,combined,43,60,-213,-6,-219.0000,31.9333,1916,-0.27,6.67,0,5000250
41,10000,10000,10000,combined,43,60,-641,-12,-653.0000,32.1667,1930,-0.32,7.15,0,10000250
42,0,0,0,baseline,44,60,3707,2,3709.0000,30.3333,1820,0.47,5.53,0,250
43,100,0,0,lp_only,44,60,3795,0,3795.0000,30.6333,1838,0.47,5.44,0,111958
44,500,0,0,lp_only,44,60,3799,-1,3798.0000,30.9167,1855,0.49,5.34,0,500250
45,1000,0,0,lp_only,44,60,3705,18,3723.0000,30.5000,1830,0.46,5.41,0,1000250
46,5000,0,0,lp_only,44,60,3948,0,3948.0000,30.7833,1847,0.46,5.44,0,5000250
47,10000,0,0,lp_only,44,60,3540,-1,3539.0000,30.6000,1836,0.43,5.36,0,10000250
48,0,100,0,lt_only,44,60,3621,1,3622.0000,30.4333,1826,0.47,5.51,0,2458
49,0,500,0,lt_only,44,60,3822,0,3822.0000,30.3667,1822,0.48,5.44,0,333
50,0,1000,0,lt_only,44,60,3852,2,3854.0000,30.6833,1841,0.49,5.33,0,1250
51,0,5000,0,lt_only,44,60,3492,-1,3491.0000,30.6167,1837,0.47,5.24,0,1791
52,0,10000,0,lt_only,44,60,3839,1,3840.0000,30.5167,1831,0.45,5.42,0,5333
53,0,0,100,pe_only,44,60,3564,1,3565.0000,30.4000,1824,0.44,5.42,0,250
54,0,0,500,pe_only,44,60,3597,-1,3596.0000,30.4833,1829,0.43,5.58,0,250
55,0,0,1000,pe_only,44,60,3222,18,3240.0000,30.6167,1837,0.38,5.58,0,250
56,0,0,5000,pe_only,44,60,2618,0,2618.0000,30.7000,1842,0.21,6.22,0,250
57,0,0,10000,pe_only,44,60,2124,12,2136.0000,30.4333,1826,0.09,6.54,0,250
58,100,100,100,combined,44,60,3795,4,3799.0000,30.6167,1837,0.50,5.37,0,109333
59,500,500,500,combined,44,60,3661,1,3662.0000,30.5500,1833,0.42,5.51,0,500250
60,1000,1000,1000,combined,44,60,3279,4,3283.0000,30.6167,1837,0.41,5.52,0,1000250
61,5000,5000,5000,combined,44,60,2502,18,2520.0000,30.8667,1852,0.21,6.20,0,5000250
62,10000,10000,10000,combined,44,60,1957,0,1957.0000,30.2667,1816,0.07,6.57,0,10000250
63,0,0,0,baseline,45,60,1434,6,1440.0000,32.1167,1927,0.13,6.11,0,250
64,100,0,0,lp_only,45,60,1209,12,1221.0000,31.8500,1911,0.11,6.04,0,100458
65,500,0,0,lp_only,45,60,1347,22,1369.0000,31.8667,1912,0.12,6.04,0,500250
66,1000,0,0,lp_only,45,60,1528,3,1531.0000,32.1000,1926,0.13,5.93,0,1000209
67,5000,0,0,lp_only,45,60,1538,18,1556.0000,31.9333,1916,0.12,6.08,0,5000250
68,10000,0,0,lp_only,45,60,1324,0,1324.0000,31.7833,1907,0.14,5.84,0,10000250
69,0,100,0,lt_only,45,60,1255,12,1267.0000,32.2667,1936,0.11,6.05,0,9042
70,0,500,0,lt_only,45,60,1465,12,1477.0000,32.2500,1935,0.14,5.87,0,1875
71,0,1000,0,lt_only,45,60,1254,4,1258.0000,31.7833,1907,0.12,5.83,0,13375
72,0,5000,0,lt_only,45,60,1771,12,1783.0000,31.9000,1914,0.12,5.84,0,7292
73,0,10000,0,lt_only,45,60,1326,5,1331.0000,32.0500,1923,0.11,5.91,0,7584
